sex (M=1/F=0);age;P_s101us (Presen1=1/0use=0);Mother_edu;Father_edu;guardian;schoolsup(Y=1/N=0);famsup(Y=1/N=0);paid(Y=1/N=0);activities(Y=1/N=0);nursery(Y=1/N=0);higher(Y=1/N=0);internet(Y=1/N=0);romantic(Y=1/N=0);famrel;freetime;goout;Dalc;Walc;health;G3;S_Type
0;18;0;4;4;mother;1;0;0;0;1;1;0;0;4;3;4;1;1;3;6;Bad
0;17;1;1;1;father;0;1;0;0;0;1;1;0;5;3;3;1;1;3;6;Bad
0;15;1;1;1;mother;1;0;1;0;1;1;1;0;4;3;2;2;3;3;10;Bad
0;15;1;4;2;mother;0;1;1;1;1;1;1;1;3;2;2;1;1;5;15;Good
0;16;1;3;3;father;0;1;1;0;1;1;0;0;4;3;2;1;2;5;10;Bad
1;16;1;4;3;mother;0;1;1;1;1;1;1;0;5;4;2;1;2;5;15;Good
1;16;1;2;2;mother;0;0;0;0;1;1;1;0;4;4;4;1;1;3;11;Good
0;17;0;4;4;mother;1;1;0;0;1;1;0;0;4;1;4;1;1;1;6;Bad
1;15;0;3;2;mother;0;1;1;0;1;1;1;0;4;2;2;1;1;1;19;Good
1;15;1;3;4;mother;0;1;1;1;1;1;1;0;5;5;1;1;1;5;15;Good
0;15;1;4;4;mother;0;1;1;0;1;1;1;0;3;3;3;1;2;2;9;Bad
0;15;1;2;1;father;0;1;0;1;1;1;1;0;5;2;2;1;1;4;12;Good
1;15;1;4;4;father;0;1;1;1;1;1;1;0;4;3;3;1;3;5;14;Good
1;15;1;4;3;mother;0;1;1;0;1;1;1;0;5;4;3;1;2;3;11;Good
1;15;0;2;2;other;0;1;0;0;1;1;1;1;4;5;2;1;1;3;16;Good
0;16;1;4;4;mother;0;1;0;0;1;1;1;0;4;4;4;1;2;2;14;Good
0;16;1;4;4;mother;0;1;1;1;1;1;1;0;3;2;3;1;2;2;14;Good
0;16;1;3;3;mother;1;1;0;1;1;1;0;0;5;3;2;1;1;4;10;Bad
1;17;1;3;2;mother;0;1;0;1;1;1;1;0;5;5;5;2;4;5;5;Bad
1;16;1;4;3;father;0;0;1;1;1;1;1;0;3;1;3;1;3;5;10;Bad
1;15;1;4;3;mother;0;0;0;0;1;1;1;0;4;4;1;1;1;1;15;Good
1;15;1;4;4;father;0;1;1;0;1;1;1;0;5;4;2;1;1;5;15;Good
1;16;1;4;2;mother;0;0;0;1;1;1;1;0;4;5;1;1;3;5;16;Good
1;16;1;2;2;mother;0;1;0;1;1;1;1;0;5;4;4;2;4;5;12;Good
0;15;1;2;4;mother;1;1;1;1;1;1;1;0;4;3;2;1;1;5;8;Bad
0;16;1;2;2;mother;0;1;1;0;0;1;1;0;1;2;2;1;3;5;8;Bad
